session_id,data_quality
0,0
1,0
2,3
3,0
4,5
5,4
6,6
7,5
8,0
9,7
10,1
11,0
12,6
13,4
14,0
15,1
16,5
17,6
18,7
19,0
20,2
21,0
22,0
23,2
24,2
25,4
26,7
27,1
28,0
29,7
30,6
31,0
32,0
33,0
34,0
35,5
36,4
37,7
38,0
39,4
40,5
41,0
42,2
43,7
44,2
45,1
46,5
47,7
48,3
49,0
50,2
51,7
52,2
53,3
54,0
55,0
56,7
57,0
58,0
59,0
60,0
61,5
62,5
63,0
64,0
65,0
66,2
67,6
68,0
69,0
70,7
71,1
72,2
73,2
74,5
75,6
76,0
77,0
78,0
79,0
80,1
81,5
82,0
83,0
84,0
85,1
86,6
87,0
88,1
89,2
90,0
91,6
92,5
93,0
94,3
95,7
96,0
97,0
98,0
99,4
100,7
101,6
102,5
103,7
104,1
105,5
106,3
107,0
108,0
109,3
110,6
111,0
112,2
113,0
114,6
115,2
116,0
117,6
118,7
119,4
120,0
121,0
122,0
123,4
124,0
125,4
126,5
127,0
128,0
129,2
130,5
131,5
132,0
133,1
134,7
135,3
136,3
137,1
138,3
139,2
140,6
141,6
142,0
143,0
144,6
145,1
146,0
147,7
148,2
149,1
