session_id,data_quality
0,0
1,5
2,0
3,0
4,7
5,0
6,0
7,0
8,0
9,5
10,1
11,3
12,5
13,2
14,1
15,2
16,0
17,0
18,5
19,3
20,7
21,0
22,7
23,2
24,4
25,2
26,0
27,1
28,7
29,5
30,0
31,0
32,3
33,4
34,7
35,3
36,6
37,6
38,3
39,4
40,1
41,0
42,2
43,5
44,5
45,1
46,0
47,0
48,3
49,1
50,2
51,7
52,0
53,2
54,0
55,6
56,6
57,0
58,0
59,1
60,0
61,4
62,0
63,0
64,3
65,3
66,0
67,3
68,2
69,0
70,3
71,6
72,0
73,0
74,2
75,0
76,5
77,5
78,1
79,6
80,0
81,7
82,0
83,6
84,1
85,4
86,3
87,1
88,0
89,6
90,7
91,0
92,0
93,4
94,3
95,5
96,7
97,5
98,1
99,3
