session_id,data_quality
0,0
1,0
2,4
3,3
4,0
5,0
6,1
7,0
8,7
9,0
10,1
11,0
12,4
13,1
14,0
15,0
16,0
17,5
18,0
19,5
20,0
21,7
23,1
24,2
25,0
26,1
27,0
28,3
29,6
30,0
31,0
32,1
33,4
34,1
35,7
36,0
37,0
38,4
39,1
40,3
41,0
42,0
43,0
44,7
45,7
46,0
47,2
48,0
49,4
50,6
51,2
52,5
53,7
54,0
55,2
56,5
57,0
58,2
59,0
60,0
61,4
62,3
63,0
64,6
65,1
66,1
67,2
68,7
69,7
70,4
71,0
72,3
73,0
74,0
75,4
76,3
77,6
78,1
79,2
80,0
81,3
82,0
83,3
84,0
85,0
86,0
87,1
88,0
89,0
90,7
91,4
92,5
93,7
94,0
95,7
96,0
97,0
98,6
99,2
100,4
101,0
102,0
103,0
104,0
105,0
106,4
107,0
108,0
109,0
110,3
111,6
112,7
113,2
114,0
115,1
116,1
117,0
118,3
119,0
120,0
121,5
122,0
123,6
124,3
125,0
126,7
127,7
128,7
129,0
130,0
131,1
132,2
133,0
134,0
135,0
136,4
137,7
138,0
139,7
140,3
141,5
142,0
143,6
144,0
145,0
146,0
147,0
148,0
149,1
