session_id,data_quality
0,7
1,3
2,7
3,0
4,6
5,5
6,3
7,7
8,0
9,5
10,0
11,2
12,4
13,4
14,0
15,0
16,3
17,3
18,0
19,4
20,2
21,3
22,2
23,0
24,0
25,1
26,4
27,6
28,0
29,3
30,5
31,0
32,0
33,0
34,1
35,6
36,4
37,4
38,1
39,5
40,0
41,0
42,0
43,0
44,6
45,0
46,6
47,5
48,0
49,5
50,5
51,7
52,3
53,7
54,4
55,7
56,2
57,3
58,6
59,7
60,3
61,6
62,7
63,0
64,6
65,0
66,3
67,4
68,0
69,0
70,0
71,4
72,2
73,1
74,0
75,1
76,4
77,6
78,7
79,0
80,2
81,7
82,0
83,0
84,7
85,7
86,2
87,3
88,0
89,7
90,2
91,5
92,6
93,0
94,2
95,1
96,0
97,3
98,7
99,2
