session_id,data_quality
0,3
1,0
2,7
3,1
4,0
5,4
6,4
7,2
8,4
9,0
10,4
11,1
12,6
13,1
14,0
15,3
16,0
17,3
18,0
19,5
20,5
21,0
22,7
23,0
24,0
25,0
26,0
27,3
28,6
29,2
30,3
31,3
32,3
33,7
34,2
35,6
36,4
37,0
38,0
39,0
40,0
41,5
42,2
43,2
44,5
45,7
46,4
47,0
48,0
49,0
50,0
51,2
52,3
53,5
54,1
55,5
56,0
57,5
58,4
59,7
60,6
61,0
62,2
63,7
64,0
65,0
66,2
67,0
68,2
69,0
70,0
71,0
72,2
73,1
74,4
75,3
76,4
77,4
78,2
79,6
80,1
81,5
82,0
83,0
84,0
85,0
86,1
87,0
88,4
89,0
90,7
91,3
92,0
93,3
94,7
95,0
96,7
97,5
98,0
99,2
100,0
101,7
102,0
103,0
104,0
105,6
106,2
107,0
108,0
109,5
110,0
111,5
112,0
113,1
114,0
115,7
116,0
117,7
118,3
119,0
120,0
121,0
122,2
123,6
124,4
125,0
126,4
127,5
128,6
129,0
130,0
131,0
132,0
133,2
134,2
135,3
136,0
137,5
138,3
139,3
140,0
141,0
142,4
143,5
144,0
145,3
146,6
147,7
148,1
149,0
