session_id,data_quality
0,0
1,2
2,2
3,0
4,4
5,0
6,5
7,4
8,5
9,1
10,1
11,4
12,6
13,4
14,0
15,5
16,6
17,0
18,6
19,1
20,0
21,7
22,0
23,5
24,4
25,4
26,3
27,2
28,0
29,7
30,5
31,3
32,0
33,6
34,1
35,0
36,4
37,3
38,0
39,6
40,0
41,3
42,3
43,2
44,3
45,5
46,7
47,3
48,7
49,7
50,4
51,1
52,0
53,4
54,7
55,0
56,0
57,4
58,0
59,1
60,4
61,0
62,0
63,5
64,7
65,3
66,0
67,0
68,7
69,0
70,0
71,2
72,5
73,6
74,1
75,0
76,7
77,6
78,0
79,1
80,3
81,0
82,4
83,0
84,0
85,3
86,3
87,7
88,0
89,0
90,5
91,0
92,0
93,2
94,5
95,5
96,0
97,6
98,5
99,6
