session_id,data_quality,Test
0,1
1,2
2,2
3,0
4,0
5,2
6,0
7,0
8,1
9,0
10,3
11,7
12,5
13,0
14,4
15,0
16,0
17,6
18,0
19,0
20,0
21,6
22,4
23,6
24,7
25,0
26,5
27,7
28,4
29,2
30,0
31,6
32,3
33,7
34,2
35,0
36,0
37,7
38,1
39,2
40,1
41,7
42,5
43,5
44,2
45,2
46,1
47,4
48,3
49,0
50,5
51,2
52,0
53,6
54,2
55,0
56,0
57,5
58,7
59,1
60,0
61,2
62,0
63,0
64,0
65,4
66,0
67,3
68,2
69,0
70,0
71,4
72,2
73,5
74,4
75,0
76,5
77,0
78,5
79,0
80,7
81,1
82,0
83,6
84,2
85,0
86,5
87,3
88,7
89,0
90,1
91,3
92,5
93,4
94,0
95,7
96,0
97,0
98,7
99,5
100,3
101,2
102,2
103,2
104,0
105,0
106,2
107,7
108,2
109,0
110,1
111,0
112,7
113,1
114,0
115,0
116,0
117,5
118,4
119,7
120,3
121,0
122,5
123,4
124,6
125,0
126,0
127,0
128,4
129,3
130,1
131,0
132,0
133,0
134,7
135,2
136,4
137,6
138,0
139,1
140,0
141,4
142,3
143,0
144,0
145,1
146,1
147,1
148,7
149,1
