session_id,data_quality
0,5
1,6
2,1
3,4
4,7
5,5
6,0
7,0
8,0
9,0
10,3
11,6
12,1
13,7
14,4
15,2
16,2
17,2
18,6
19,1
20,4
21,3
22,5
23,3
24,0
25,0
26,0
27,7
28,6
29,0
30,6
31,0
32,6
33,7
34,0
35,0
36,1
37,7
38,7
39,7
40,1
41,0
42,0
43,4
44,3
45,0
46,0
47,2
48,6
49,0
50,2
51,0
52,3
53,5
54,0
55,0
56,4
57,0
58,3
59,0
60,3
61,0
62,6
63,2
64,7
65,1
66,1
67,4
68,0
69,0
70,0
71,0
72,3
73,3
74,1
75,0
76,2
77,1
78,0
79,1
80,0
81,0
82,0
83,0
84,4
85,0
86,0
87,0
88,0
89,0
90,0
91,3
92,3
93,4
94,0
95,0
96,0
97,6
98,3
99,6
100,4
101,6
102,0
103,0
104,6
105,0
106,2
107,0
108,0
109,0
110,1
111,4
112,0
113,7
114,6
115,5
116,4
117,0
118,5
119,0
120,1
121,5
122,0
123,0
124,7
125,0
126,7
127,0
128,1
129,5
130,1
131,4
132,1
133,3
134,0
135,0
136,0
137,0
138,7
139,7
140,7
141,7
142,3
143,3
144,3
145,7
146,5
147,4
148,4
149,7
