session_id,data_quality, data_quality
0,4
1,2
2,4
3,6
4,0
5,5
6,1
7,7
8,5
9,0
10,2
11,4
12,3
13,1
14,3
15,4
16,2
17,0
18,6
19,2
20,7
21,0
22,2
23,4
24,1
25,0
26,1
27,3
28,1
29,0
30,0
31,0
32,0
33,6
34,7
35,4
36,1
37,3
38,3
39,7
40,0
41,0
42,0
43,4
44,2
45,0
46,2
47,0
48,0
49,4
50,0
51,2
52,0
53,0
54,6
55,5
56,0
57,4
58,3
59,3
60,0
61,3
62,1
63,6
64,3
65,4
66,0
67,1
68,5
69,0
70,4
71,7
72,5
73,2
74,0
75,0
76,3
77,7
78,0
79,7
80,4
81,4
82,1
83,0
84,5
85,0
86,3
87,6
88,4
89,5
90,6
91,7
92,1
93,0
94,0
95,0
96,2
97,7
98,0
99,0
100,6
101,5
102,6
103,7
104,0
105,1
106,5
107,4
108,1
109,6
110,6
111,0
112,3
113,5
114,4
115,1
116,3
117,0
118,2
119,0
120,7
121,4
122,3
123,0
124,0
125,0
126,7
127,5
128,4
129,0
130,1
131,0
132,3
133,7
134,0
135,4
136,7
137,7
138,7
139,1
140,3
141,0
142,3
143,0
144,2
145,0
146,6
147,0
148,5
149,7
